region,country,regime,gwftype,duryear,milstart,milend,natblg,yeardiff,colonyof,status,millead,milparty,mpexist,mpdummy,mpestb,seat1,seat100_1,majority,majordummy,gedate1,oppos,seat2,seat100_2,gedate2,opposnum,timediff,seat3,seat4,seat100_3,gdp,gdp1,loggdp1,population,gpc,loggpc10,gdpgrow,gg100,milexp,opec,milexp1,mgr,mgr100,ethnic,ethnic100,remark
Africa,Algeria,Algeria1,party-military,30,1962-07-05,1992-01-11,1962-07-05,0,France,1,"Houari Boum?di?ne
Chadli Bendjedid","Front de Lib?ration Nationale
(FLN)",YES,1,1954-11-01,100.00%,100,YES,1,1962-09-28,,0%,0,,0,,0.00%,0.00%,0,2001000000,20,13,11619828,172,22,-19.69%,-20,328000000,1,328,2.51%,3,0.336,34,one-party state until 1991
Africa,Algeria,Algeria2,military,27,1992-01-11,2019-02-22,1962-07-05,30,France,1,"Liamine Z?roual
Abdelaziz Bouteflika","Rassemblement National D?mocratique
(RND)",YES,1,1997-02-21,41.05%,41,NO,0,1997-06-05,,0%,0,,0,,0.00%,0.00%,0,48178000000,482,27,29742979,1620,32,1.10%,1,1752000000,1,1752,3.64%,4,0.353,35,one-party state until 1991
Latin America,Argentina,Argentina1,military,3,1943-06-04,1946-02-24,1816-07-09,127,Spain,1,"Pedro Pablo Ram?rez
Edelmiro Juli?n Farrell",,NO,0,,0%,0,NO,0,,,0%,0,,0,,0.00%,0.00%,0,,,,,,,,,,0,,,,0.051,5,
Latin America,Argentina,Argentina2,military,2,1955-09-16,1958-02-23,1816-07-09,139,Spain,1,"Eduardo Lonardi
Pedro Aramburu
Isaac Rojas",,NO,0,,0%,0,NO,0,,"Partido Justicialista
(PJ)",89.17%,89,1954-04-25,2,,7.64%,96.82%,97,,,,,,,,,,0,,,,0.06,6,
Latin America,Argentina,Argentina3,indirect military,8,1958-02-23,1966-06-28,1816-07-09,142,Spain,1,military veto power,,NO,0,,0%,0,NO,0,,"Uni?n C?vica Radical Intransigente
(UCRI)",71.12%,71,1958-02-23,3,,27.81%,98.93%,99,,,,,,,,,,0,,,,0.064,6,PJ was banned by the military
Latin America,Argentina,Argentina4,military,7,1966-06-28,1973-03-11,1816-07-09,150,Spain,1,"Juan Carlos Ongan?a
Marcelo Levingston
Alejandro Lanusse",,NO,0,,0%,0,NO,0,,"Uni?n C?vica Radical
(UCR)",35.42%,35,1965-03-14,10,,27.08%,62.50%,63,28630000000,286,25,22494035,1273,31,-0.66%,-1,279225436,0,279,1.17%,1,0.073,7,
Latin America,Argentina,Argentina5,military,8,1976-03-24,1983-10-30,1816-07-09,160,Spain,1,"Jorge Rafael Videla
Roberto Eduardo Viola
Carlos Lacoste
Leopoldo Galtieri
Alfredo ?scar Saint-Jean
Reynaldo Bignone",,NO,0,,0%,0,NO,0,,FREJULI,59.67%,60,1973-03-11,5,,20.99%,80.66%,81,51169000000,512,27,26264681,1948,33,-2.02%,-2,2050000000,0,2050,3.78%,4,0.087,9,
Asia,Bangladesh,Bangladesh,military,2,2007-01-11,2008-12-29,1971-03-26,36,Pakistan,1,Fakhruddin Ahmed,,NO,0,,0%,0,NO,0,,"Bangladesh Nationalist Party
(BNP)",64.33%,64,2001-10-01,8,,20.67%,85.00%,85,79612000000,796,29,142660376,558,27,7.06%,7,953464224,0,953,1.11%,1,0.028,3,
Africa,Benin,Benin1,military,2,1965-12-22,1967-12-17,1960-08-01,5,France,1,Christophe Soglo,,NO,0,,0%,0,NO,0,,"Parti D?mocratique Dahom?en
(PDD)",100.00%,100,1964-01-19,1,,0.00%,100.00%,100,289908721,3,5,2632356,110,20,5.29%,5,3993924,0,4,2.11%,2,0.783,78,party dictatorship regime before 1965
Africa,Benin,Benin2,military,2,1967-12-17,1969-12-10,1960-08-01,7,France,1,Sourou Apithy,,NO,0,,0%,0,NO,0,,,0%,0,,0,,0.00%,0.00%,0,306222000,3,5,2735307,112,20,1.08%,1,3910553,0,4,1.98%,2,0.784,78,
Africa,Benin,Benin3,military,0,1969-12-13,1970-05-07,1960-08-01,9,France,1,Justin Ahomad?gb?,,NO,0,,0%,0,NO,0,,,0%,0,,0,,0.00%,0.00%,0,330748211,3,5,2850661,116,21,2.88%,3,4015987,0,4,1.90%,2,0.784,78,
Latin America,Bolivia,Bolivia1,party-military,3,1943-12-20,1946-07-21,1825-08-06,118,Spain,1,Gualberto Villarroel,,NO,0,,0%,0,NO,0,1944-02-07,"Partido Liberal
(PL)",22.73%,23,1942-03-01,13,2,20.00%,42.73%,43,,,,,,,,,,0,,,,0.625,63,
Latin America,Bolivia,Bolivia2,military,1,1951-05-16,1952-04-09,1825-08-06,126,Spain,1,Hugo Ballivi?n,,NO,0,,0%,0,NO,0,,"Movimiento Nacionalista Revolucionario
(MNR)",0%,0,1951-05-06,0,,0.00%,0.00%,0,,,,,,,,,,0,,,,0.621,62,Supreme Decree annulled the results of the elections
Latin America,Bolivia,Bolivia3,military,2,1969-09-26,1971-08-21,1825-08-06,144,Spain,1,Alfredo Ovando Cand?a,,NO,0,,0%,0,NO,0,,"Frente de la Revoluci?n Boliviana
(FRB)",80.39%,80,1966-07-03,3,,18.63%,99.02%,99,929629629,9,10,4389246,212,23,4.47%,4,12254609,0,12,1.32%,1,0.608,61,
Latin America,Bolivia,Bolivia4,military-personal,8,1971-08-21,1979-07-01,1825-08-06,146,Spain,1,"Hugo Banzer
Juan Pereda","Alianza Democr?tica de la Revoluci?n Nacional
(ADRN)",YES,1,1978-01-01,0%,0,NO,0,1978-07-09,,0%,0,,0,,0.00%,0.00%,0,3785000000,38,16,5344939,708,29,2.05%,2,97672439,0,98,2.60%,3,0.606,61,ge1 annuled later by the Electoral Court due to allegations of fraud
Latin America,Bolivia,Bolivia5,military,2,1980-07-17,1982-10-10,1825-08-06,155,Spain,1,Luis Garc?a Meza,,NO,0,,0%,0,NO,0,,Unidad Democr?tica y Popular,36.15%,36,1980-06-29,10,,26.15%,62.31%,62,4527000000,45,17,5579935,811,29,-1.73%,-2,159008135,0,159,3.17%,3,0.599,60,
Latin America,Brazil,Brazil,military,21,1964-04-01,1985-01-15,1889-11-15,75,Portugal,1,"Castelo Branco 
Costa e Silva 
Em?lio M?dici 
Ernesto Geisel 
Jo?o Figueiredo",,NO,0,,0%,0,NO,0,1966-11-15,"Partido Social Democr?tico
(PSD)",19.32%,19,1962-10-07,11,4,15.40%,34.72%,35,27063000000,271,24,85696505,316,25,4.15%,4,718216575,1,718,3.02%,3,0.57,57,"president Branco shuttered all existing parties, and enacted a new electoral law that limited the number of parties to two"
Africa,Burkina Faso,Burkina Faso,military,2,1980-11-25,1982-11-07,1960-08-05,20,France,1,Saye Zerbo,,NO,0,,0%,0,NO,0,,"Rassemblement D?mocratique Africain
(UDV-RDA)",49.12%,49,1978-04-30,5,,22.81%,71.93%,72,1929000000,19,13,6822843,283,25,0.80%,1,35360659,0,35,2.75%,3,0.754,75,
Africa,Burundi,Burundi1,party-military,21,1966-07-08,1987-09-03,1962-07-01,4,Belgium,1,"Michel Micombero
Jean-Baptiste Bagaza","Union Pour le Progr?s National
(UPRONA)",YES,1,1960-01-01,100.00%,100,YES,1,1982-10-22,"Parti du Peuple
(PP)",30.30%,30,1965-05-10,1,17,0.00%,30.30%,30,1013000000,10,10,4379724,231,24,-1.05%,-1,36665556,0,37,3.51%,4,0.281,28,"one-party state
President Jean-Baptiste Bagaza appointed a further 13 members until 1987"
